"CancerAlliance","mcedTreated","imd_pop_weighted_avg","psw_imd"
"Cheshire and Merseyside Cancer Alliance",1,28.3039038029444,1
"East Midlands Cancer Alliance",1,20.3112203919023,1
"East of England - North Cancer Alliance",1,19.2585536023052,1
"East of England - South Cancer Alliance",0,15.9321324014693,0.228658491638403
"Greater Manchester Cancer Alliance",1,30.1760152306299,1
"Humber and North Yorkshire Cancer Alliance",0,20.8483086059004,0.482508082324334
"Kent and Medway Cancer Alliance",1,20.363922501832,1
"Lancashire & South Cumbria Cancer Alliance",0,26.0002877645586,1.0553041185293
"North Central London Cancer Alliance",0,22.9187686544188,0.660832854195642
"North East London Cancer Alliance",0,25.83010358267,1.02837303977852
"Northern Cancer Alliance",1,27.3015925156778,1
"Peninsula Cancer Alliance",0,21.0504764767562,0.497555450623127
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,16.8771533233818,0.263954949347829
"South East London Cancer Alliance",1,22.2488225765114,1
"South Yorkshire Cancer Alliance",0,28.4904310208996,1.54046175948003
"Surrey and Sussex Cancer Alliance",0,14.1575376379033,0.174629801176711
"Thames Valley Cancer Alliance",0,11.1812047373664,0.111114676286957
"Wessex Cancer Alliance",0,17.2639810110446,0.279929459257674
"West London Cancer Alliance",0,18.9111233905242,0.359508879128625
"West Midlands Cancer Alliance",1,25.453577658003,1
"West Yorkshire and Harrogate Cancer Alliance",0,28.4384105032428,1.52833711123668
