"tx.mn","tx.sd","ct.mn","ct.sd","std.eff.sz","stat","p","ks","ks.pval"
"pct_stage_3_4",0.489,0.013,0.475,0.022,1.094,1.941,0.067,0.692,0.009
"NumProviderOrgs",8.625,4.207,5.769,2.088,0.679,1.86,0.078,0.519,0.091
"NumStaff",50966.25,17911.531,34341.09,10222.486,0.928,2.488,0.022,0.567,0.056
"Pop",3205981.628,1427122.486,2377107.331,829550.193,0.581,1.552,0.137,0.462,0.15
"Pop0to49perc",0.621,0.044,0.627,0.06,-0.123,-0.245,0.809,0.231,0.897
"Pop50to64perc",0.193,0.013,0.19,0.019,0.206,0.388,0.702,0.24,0.897
"Pop65to74perc",0.1,0.017,0.098,0.022,0.149,0.309,0.761,0.24,0.897
"Pop75to84perc",0.061,0.011,0.06,0.015,0.089,0.181,0.858,0.337,0.448
"Pop85plusperc",0.024,0.004,0.025,0.006,-0.164,-0.328,0.747,0.26,0.743
"PopFemalePerc",0.506,0.003,0.504,0.005,0.549,0.871,0.395,0.26,0.743
"PopMalePerc",0.494,0.003,0.496,0.005,-0.549,-0.871,0.394,0.26,0.743
"CancerPrevPer100k",3965.875,408.699,3960.977,693.03,0.012,0.021,0.984,0.337,0.448
"CancerReferralsPrevPer100k",2265.738,275.791,2191.935,319.645,0.268,0.577,0.571,0.26,0.743
"PercentageAbsent_Month_TMinus1",0.063,0.018,0.059,0.017,0.262,0.619,0.543,0.288,0.743
"PercentageAbsent_Month_TMinus2",0.063,0.018,0.059,0.017,0.238,0.559,0.583,0.288,0.743
"PercentageAbsent_Month_TMinus3",0.069,0.019,0.062,0.018,0.357,0.825,0.42,0.288,0.743
"PercentageAbsent_Month_TMinus4",0.055,0.015,0.049,0.013,0.403,0.964,0.347,0.365,0.448
"PercentageAbsent_Month_TMinus5",0.05,0.013,0.045,0.011,0.325,0.785,0.442,0.317,0.595
"PercentageAbsent_Month_TMinus6",0.049,0.013,0.045,0.011,0.322,0.778,0.446,0.288,0.743
"DiagnosticDelayRate_Month_TMinus1",0.309,0.029,0.305,0.044,0.125,0.235,0.817,0.26,0.743
"DiagnosticDelayRate_Month_TMinus2",0.298,0.025,0.307,0.062,-0.357,-0.469,0.644,0.413,0.324
"DiagnosticDelayRate_Month_TMinus3",0.286,0.026,0.289,0.057,-0.1,-0.145,0.886,0.365,0.448
"DiagnosticDelayRate_Month_TMinus4",0.284,0.042,0.297,0.058,-0.317,-0.629,0.537,0.365,0.448
"DiagnosticDelayRate_Month_TMinus5",0.26,0.033,0.28,0.06,-0.575,-0.961,0.349,0.26,0.743
"DiagnosticDelayRate_Month_TMinus6",0.292,0.046,0.28,0.06,0.252,0.516,0.612,0.365,0.448
