CancerAlliance,mcedTreated,NumProviderOrgs,NumStaff,Pop,Pop0to49,Pop0to49perc,Pop50to64,Pop50to64perc,Pop65to74,Pop65to74perc,Pop75to84,Pop75to84perc,Pop85plus,Pop85plusperc,PopFemale,PopFemalePerc,PopMale,PopMalePerc,CancerPrevCount,CancerPrevPer100k,CancerReferrals,CancerReferralsPrevPer100k,PercentageAbsent_Month_TMinus6,PercentageAbsent_Month_TMinus5,PercentageAbsent_Month_TMinus4,PercentageAbsent_Month_TMinus3,PercentageAbsent_Month_TMinus2,PercentageAbsent_Month_TMinus1,DiagnosticDelayRate_Month_TMinus6,DiagnosticDelayRate_Month_TMinus5,DiagnosticDelayRate_Month_TMinus4,DiagnosticDelayRate_Month_TMinus3,DiagnosticDelayRate_Month_TMinus2,DiagnosticDelayRate_Month_TMinus1
Cheshire and Merseyside Cancer Alliance,1,15,42002,2503923.135,1491418.075,0.595632531,509911.0315,0.203644842,271658.9626,0.108493331,165768.9548,0.066203692,65082.06306,0.025992037,1277860.845,0.510343479,1226049.083,0.489651246,106587,4256.8,66807,2668.093085,0.058603089,0.057614425,0.063667892,0.078038892,0.070284776,0.069220106,0.291952895,0.281313131,0.282051282,0.294517444,0.319897959,0.328473804
East Midlands Cancer Alliance,1,8,64614.83333,4696578.291,2850045.042,0.606834352,929301.8402,0.197867848,499680.9068,0.106392543,301922.0428,0.064285534,115768.6725,0.024649578,2372429.73,0.505140037,2324205.032,0.494871987,186534,3971.7,100042,2130.103956,0.068319508,0.064549779,0.068560447,0.084784567,0.085304947,0.085523019,0.219276443,0.234153401,0.24375347,0.273297236,0.281112738,0.287356322
East of England - North Cancer Alliance,1,9,46318,2916592.467,1685660.977,0.57795561,579612.8173,0.19872945,343995.0479,0.11794416,216904.2381,0.074369059,90251.17339,0.030944047,1473142.595,0.505090311,1443424.362,0.494900943,131025,4492.4,73602,2523.561342,0.04319238,0.043440634,0.046806571,0.056172324,0.054753686,0.055254395,0.299350325,0.25144357,0.265767935,0.279381443,0.287042417,0.319399786
East of England - South Cancer Alliance,0,6,37664.83333,3646428.02,2298051.659,0.630219943,703664.0414,0.192973518,342778.8723,0.094004014,211625.056,0.058036263,90426.16312,0.02479856,1855178.968,0.508766101,1791271.28,0.491239994,141795,3888.6,68072,1866.813211,0.036303958,0.036346029,0.037653615,0.047104833,0.044181051,0.044998324,0.351914687,0.299952763,0.319706017,0.298029557,0.327702703,0.342424242
Greater Manchester Cancer Alliance,1,8,53983.16667,2881928.834,1902221.628,0.660051562,520513.5141,0.180612896,251906.8609,0.087409119,151086.8973,0.052425617,56049.89466,0.019448743,1447161.602,0.50215036,1434733.012,0.497837766,105127,3647.8,61104,2120.246665,0.058119007,0.06459051,0.073000817,0.090864374,0.083326015,0.08397758,0.333034111,0.307152875,0.357858076,0.325964456,0.322434151,0.354725788
Humber and North Yorkshire Cancer Alliance,0,5,24687.16667,1708714.103,969913.3265,0.567627624,360284.1386,0.210851036,204622.1041,0.119752101,124932.0631,0.073114667,48979.96104,0.028664808,864829.1892,0.506128666,843883.5991,0.493870565,76101,4453.7,34747,2033.517482,0.055878135,0.055531694,0.057460691,0.080296128,0.080741273,0.069667648,0.312225154,0.365853659,0.328443358,0.316787004,0.322097378,0.333333333
Kent and Medway Cancer Alliance,1,4,22260.33333,1868204.688,1130630.239,0.605196126,369518.6873,0.19779347,197724.9841,0.105836895,121583.1006,0.065080182,48739.9807,0.026089208,950159.9569,0.508595211,918033.5836,0.491398822,76120,4074.5,39404,2109.190725,0.033042272,0.032891489,0.034904612,0.044352482,0.037932037,0.039073582,0.344856661,0.289249147,0.290977444,0.312399356,0.33363472,0.3254836
Lancashire & South Cumbria Cancer Alliance,0,4,29146.83333,1701652.639,997698.8381,0.586311692,349384.4605,0.20532067,192387.0163,0.113058924,118100.9663,0.069403686,44205.07852,0.025977733,860287.4455,0.505559963,841368.0809,0.494441734,72179,4241.7,38610,2268.970712,0.059325132,0.059101248,0.070380706,0.079593606,0.067188094,0.074903492,0.242268041,0.24214876,0.310319767,0.309859155,0.332335329,0.341763006
North Central London Cancer Alliance,0,7,27207.16667,1526576.801,1090901.252,0.714606203,248608.0577,0.162853292,100970.9494,0.06614207,59885.02062,0.039228305,26211.98096,0.017170431,760325.4712,0.498059102,766263.673,0.501948983,45866,3004.5,42788,2802.872411,0.037048805,0.03552734,0.03401987,0.040626483,0.041447424,0.039158297,0.279585799,0.276436303,0.300719424,0.267085625,0.324851569,0.325868726
North East London Cancer Alliance,0,3,25902.83333,2036495.478,1524343.243,0.748512952,301973.7073,0.14828106,116113.2542,0.05701621,64655.0284,0.031748182,29118.99568,0.014298581,998861.2686,0.490480475,1037618.534,0.509511828,51114,2509.9,36039,1769.657747,0.028934063,0.030462768,0.031579962,0.041096709,0.039985173,0.038159786,0.38647343,0.405772496,0.429331307,0.414920369,0.452205882,0.370719178
Northern Cancer Alliance,1,8,59031.33333,3000452.467,1765866.706,0.588533471,620540.4184,0.206815614,338128.1923,0.112692401,199619.2549,0.066529717,76422.83171,0.025470436,1525126.513,0.508298841,1475316.065,0.491697862,125995,4199.2,68503,2283.088992,0.050338184,0.051857755,0.058829648,0.080047911,0.064309459,0.067313654,0.224336505,0.201171875,0.227510917,0.248141264,0.260352213,0.260850881
Peninsula Cancer Alliance,0,4,26747.83333,1785288.393,967584.2515,0.541976442,378297.4367,0.211897102,234579.699,0.131395969,145557.954,0.0815319,59258.03736,0.033192417,912976.0967,0.51138858,872320.1165,0.4886158,87131,4880.5,47393,2654.641132,0.051295301,0.05128951,0.05818576,0.078838892,0.076901833,0.076020919,0.177131527,0.176261549,0.201061321,0.183894231,0.203969884,0.210078534
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,9,51256.33333,3103736.728,1858113.424,0.598669793,611961.1106,0.197169143,334281.26,0.10770284,211389.6545,0.068108114,87723.11089,0.028263709,1570997.35,0.506163211,1532719.969,0.493830535,135056,4351.4,73274,2360.831682,0.038215664,0.036962589,0.041147638,0.053541593,0.050788703,0.050024817,0.257631258,0.252208835,0.273551439,0.258153242,0.251908397,0.278846154
South East London Cancer Alliance,1,3,38492,1818210.52,1294824.687,0.712142336,308199.2625,0.169506919,116037.1216,0.063819409,68613.93366,0.037737068,30531.99345,0.016792331,916512.2097,0.504073758,901719.5021,0.495937897,57590,3167.4,44920,2470.561,0.031699567,0.030102531,0.033307287,0.042008993,0.039713031,0.036963773,0.31402439,0.254447022,0.273551989,0.260805861,0.292244898,0.294649062
South Yorkshire Cancer Alliance,0,5,27786.33333,1533340.339,955434.7771,0.62310679,295460.9135,0.19269102,151562.0721,0.098844378,95146.04376,0.062051484,35794.05117,0.02334384,772789.1598,0.503990627,760535.9001,0.495999408,58362,3806.2,32018,2088.120894,0.0627647,0.063809858,0.06601609,0.093780025,0.085586901,0.087537704,0.324971494,0.301245753,0.344492441,0.334054054,0.326209224,0.292841649
Surrey and Sussex Cancer Alliance,0,8,42921.66667,3510736.02,2102116.996,0.598768174,700788.3216,0.199612935,364448.22,0.103809634,235840.0922,0.067176823,107294.062,0.0305617,1785824.684,0.508675296,1724871.089,0.49131324,152875,4354.5,78457,2234.77355,0.042372289,0.04206629,0.044942424,0.054815878,0.051074204,0.051394765,0.280991736,0.270363289,0.259345794,0.299685782,0.271317829,0.29500998
Thames Valley Cancer Alliance,0,3,22781.16667,1723434.613,1075261.795,0.623906348,334474.007,0.194074092,163076.8808,0.09462319,105911.0705,0.061453489,44762.00047,0.025972555,868655.4311,0.504025755,854783.9557,0.495977016,73682,4275.3,28878,1675.607522,0.041778271,0.041303999,0.045673359,0.053662683,0.051653369,0.054175751,0.19478738,0.278752437,0.294058409,0.296121097,0.325027086,0.306288032
Wessex Cancer Alliance,0,7,38008.5,2608247.423,1503458.614,0.576424844,525086.5489,0.201317768,301061.1931,0.115426623,194041.7507,0.074395454,84547.00636,0.032415255,1320125.152,0.50613494,1288134.256,0.493869656,123211,4723.9,57465,2203.203557,0.04358357,0.04476282,0.046257624,0.05925866,0.057563323,0.056146588,0.249195402,0.23015873,0.237027265,0.229058211,0.241221374,0.266765286
West London Cancer Alliance,0,9,53703.5,3621242.98,2509637.047,0.69303194,625459.6611,0.172719606,265453.124,0.073304422,154245.0409,0.042594502,66617.15796,0.018396213,1812400.39,0.50049124,1808794.965,0.499495608,117350,3240.6,80468,2222.109934,0.032607986,0.032215913,0.034157676,0.041041578,0.039647524,0.039257047,0.327419355,0.311201629,0.323054332,0.312791114,0.344591878,0.341052632
West Midlands Cancer Alliance,1,14,81028.33333,5961962.626,3728489.982,0.62537963,1120582.615,0.187955324,585614.4175,0.098225107,380369.0852,0.063799307,147017.0198,0.024659165,3004984.237,0.50402601,2956939.201,0.495967417,233542,3917.2,108571,1821.061399,0.05201458,0.0523127,0.057749204,0.072217722,0.070615983,0.069264698,0.307482581,0.264467766,0.326794011,0.293774834,0.290192695,0.298226467
West Yorkshire and Harrogate Cancer Alliance,0,5,38620,2396501.768,1550469.155,0.646971839,440341.7679,0.183743561,222347.8814,0.092780187,131982.7149,0.055073072,51608.97226,0.021535128,1216670.008,0.507685838,1179829.63,0.492313273,90154,3761.9,55456,2314.039603,0.058745365,0.060587311,0.064615411,0.081047748,0.080242258,0.079388469,0.256396588,0.224549156,0.239633818,0.231825987,0.269744836,0.260087241
