"ExcludedRegion","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Full sample","62.86 (-8.91-134.63, p=.08)","99.16 (18.52-179.81, p=.02)","51.17 (-57.56-159.90, p=.34)","83.13 (-32.73-199.00, p=.15)","69.50 (-42.55-181.54, p=.21)","51.11 (-69.40-171.63, p=.39)"
"Cheshire and Merseyside Cancer Alliance","53.40 (-22.46-129.26, p=.16)","93.42 (6.47-180.37, p=.04)","38.66 (-76.19-153.52, p=.49)","73.17 (-51.43-197.77, p=.23)","62.87 (-58.18-183.92, p=.29)","41.38 (-87.88-170.64, p=.51)"
"East Midlands Cancer Alliance","79.30 (8.03-150.57, p=.03)","115.46 (41.08-189.85, p=.004)","74.08 (-27.97-176.14, p=.15)","108.15 (-4.43-220.72, p=.06)","106.18 (8.71-203.66, p=.03)","88.23 (-18.06-194.51, p=.10)"
"East of England - North Cancer Alliance","62.02 (-16.49-140.54, p=.11)","92.48 (5.14-179.81, p=.04)","45.05 (-73.17-163.28, p=.43)","77.89 (-52.36-208.15, p=.23)","48.38 (-67.44-164.20, p=.39)","28.96 (-92.11-150.03, p=.62)"
"Greater Manchester Cancer Alliance","43.34 (-25.91-112.58, p=.21)","93.83 (2.98-184.67, p=.04)","40.72 (-78.52-159.96, p=.48)","69.04 (-51.63-189.70, p=.25)","51.56 (-57.19-160.31, p=.33)","21.60 (-88.59-131.79, p=.69)"
"Kent and Medway Cancer Alliance","65.95 (-11.39-143.29, p=.09)","97.65 (12.06-183.25, p=.03)","47.78 (-67.53-163.09, p=.40)","78.10 (-46.45-202.65, p=.21)","62.15 (-57.71-182.01, p=.29)","51.38 (-76.97-179.74, p=.41)"
"Northern Cancer Alliance","75.19 (0.76-149.62, p=.05)","108.05 (23.05-193.04, p=.02)","68.39 (-42.74-179.52, p=.21)","105.12 (-8.15-218.39, p=.07)","83.98 (-34.61-202.56, p=.15)","65.78 (-64.04-195.60, p=.30)"
"South East London Cancer Alliance","70.85 (-5.68-147.38, p=.07)","108.14 (25.27-191.00, p=.01)","61.33 (-51.27-173.93, p=.27)","98.83 (-16.50-214.15, p=.09)","84.95 (-27.76-197.66, p=.13)","65.14 (-59.10-189.37, p=.29)"
"West Midlands Cancer Alliance","47.97 (-32.11-128.05, p=.23)","76.11 (-3.16-155.38, p=.06)","25.46 (-89.14-140.07, p=.65)","52.94 (-70.80-176.68, p=.38)","56.12 (-80.91-193.16, p=.40)","45.76 (-103.40-194.93, p=.53)"
"East of England - South Cancer Alliance","60.72 (-12.82-134.26, p=.10)","98.15 (12.90-183.40, p=.03)","48.09 (-66.85-163.04, p=.39)","84.43 (-37.07-205.93, p=.16)","70.13 (-46.87-187.12, p=.22)","48.63 (-78.13-175.38, p=.43)"
"Humber and North Yorkshire Cancer Alliance","65.82 (-6.37-138.00, p=.07)","101.23 (18.42-184.05, p=.02)","53.38 (-58.26-165.02, p=.33)","83.17 (-36.11-202.45, p=.16)","71.81 (-42.63-186.24, p=.20)","53.37 (-69.07-175.82, p=.37)"
"Lancashire & South Cumbria Cancer Alliance","72.34 (3.21-141.47, p=.04)","105.85 (24.78-186.93, p=.01)","60.32 (-49.25-169.89, p=.26)","86.49 (-31.94-204.91, p=.14)","74.23 (-39.85-188.31, p=.19)","57.51 (-64.82-179.83, p=.34)"
"North Central London Cancer Alliance","59.16 (-12.57-130.90, p=.10)","95.63 (13.17-178.09, p=.03)","48.16 (-63.36-159.68, p=.38)","80.75 (-37.57-199.07, p=.17)","65.48 (-48.49-179.46, p=.24)","52.46 (-70.65-175.57, p=.38)"
"North East London Cancer Alliance","57.45 (-14.25-129.14, p=.11)","87.68 (8.11-167.24, p=.03)","35.12 (-71.54-141.78, p=.50)","71.02 (-44.76-186.81, p=.21)","57.09 (-53.91-168.08, p=.30)","40.14 (-79.99-160.27, p=.49)"
"Peninsula Cancer Alliance","64.79 (-10.49-140.07, p=.09)","113.79 (37.44-190.14, p=.006)","72.08 (-29.16-173.33, p=.15)","109.89 (9.30-210.48, p=.03)","89.87 (-13.18-192.92, p=.08)","72.51 (-40.26-185.27, p=.19)"
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance","61.10 (-12.50-134.71, p=.10)","94.74 (10.59-178.89, p=.03)","43.84 (-69.05-156.73, p=.43)","74.96 (-44.27-194.20, p=.20)","69.79 (-46.64-186.22, p=.22)","51.95 (-73.17-177.07, p=.40)"
"South Yorkshire Cancer Alliance","64.34 (-8.68-137.35, p=.08)","98.84 (17.11-180.57, p=.02)","46.70 (-63.61-157.01, p=.39)","71.70 (-45.43-188.83, p=.22)","57.73 (-54.93-170.39, p=.30)","39.53 (-79.59-158.65, p=.50)"
"Surrey and Sussex Cancer Alliance","60.12 (-14.49-134.73, p=.11)","91.41 (7.54-175.28, p=.03)","55.50 (-59.07-170.08, p=.32)","89.96 (-30.50-210.41, p=.13)","78.16 (-36.91-193.23, p=.17)","55.37 (-70.03-180.77, p=.37)"
"Thames Valley Cancer Alliance","64.00 (-8.96-136.95, p=.08)","101.06 (18.17-183.95, p=.02)","55.39 (-56.16-166.93, p=.31)","86.55 (-32.10-205.20, p=.14)","72.94 (-41.50-187.39, p=.20)","52.59 (-70.98-176.17, p=.38)"
"Wessex Cancer Alliance","62.46 (-10.51-135.42, p=.09)","105.65 (23.44-187.86, p=.01)","58.06 (-53.88-170.01, p=.29)","85.97 (-34.14-206.09, p=.15)","68.67 (-46.99-184.33, p=.23)","52.74 (-71.69-177.16, p=.39)"
"West London Cancer Alliance","61.43 (-11.56-134.43, p=.09)","93.69 (9.21-178.16, p=.03)","41.27 (-71.77-154.32, p=.45)","75.67 (-44.44-195.78, p=.20)","66.96 (-49.25-183.18, p=.24)","46.95 (-78.20-172.10, p=.44)"
"West Yorkshire and Harrogate Cancer Alliance","62.29 (-10.96-135.54, p=.09)","101.23 (17.91-184.54, p=.02)","47.37 (-65.32-160.06, p=.39)","81.30 (-39.14-201.75, p=.17)","61.56 (-52.68-175.80, p=.27)","40.53 (-80.95-162.01, p=.49)"
