"Suspected Cancer Type","Total No. of Referrals","No. Delayed"
"Primary high-detection group","1,875,236","501,226"
"   Head & neck","932,920","240,452"
"   Lung","225,492","49,872"
"   Upper gastrointestinal","716,824","210,902"
"Secondary expanded high-detection group","5,532,510","2,094,024"
"   Gynaecological cancer","981,770","375,045"
"   Haematological malignancies (excluding acute leukaemia)","72,186","32,339"
"   Lower gastrointestinal","1,799,073","831,018"
"   Urological malignancies (excluding testicular)","804,245","354,396"
"Secondary low-detection group","4,114,121","638,357"
"   Acute leukaemia","1,130","359"
"   Brain/central nervous system tumours","39,991","8,955"
"   Breast","1,860,514","217,460"
"   Sarcoma","51,156","17,398"
"   Skin","2,110,484","381,439"
"   Testicular","37,605","7,653"
"   Other","13,241","5,093"
