"mced_treated","period","num_not_told_diagnosis_outcome_within_28_days","told_diagnosis_outcome_total","told_diagnosis_outcome_within_14_days","in_15_to_28_days","told_diagnosis_outcome_in_29_to_42_days","told_diagnosis_outcome_in_43_to_62_days","told_diagnosis_outcome_after_62_days","periodNum","totalStaff","totalAbsent","totalBedsOccupied","date","percentage_not_told_diagnosis_outcome_within_28_days"
0,"1",137683,359394,124819,96892,62834,44849,30000,1,34392.5384615385,1779.29507857734,112.016187620623,"2021-04-01",0.38309765883682
0,"2",142488,384821,136418,105915,62303,45285,34900,2,34702.8974358974,2274.29405352712,344.006180826342,"2021-10-01",0.370270853201878
0,"3",160530,404784,136037,108217,68500,51880,40150,3,35154.717948718,1922.12325613455,312.161800385994,"2022-04-01",0.396581880706747
0,"4",172565,444477,154177,117735,71223,54198,47144,4,36096.1025641026,1898.76257237386,280.991412619638,"2022-10-01",0.388242811214079
0,"5",164652,435575,147534,123389,72307,53906,38439,5,36936.358974359,1587.88849913527,115.513449780243,"2023-04-01",0.378010675543821
0,"6",151914,445004,160693,132397,67494,47812,36608,6,38304.8461538462,1756.80998248291,118.780148408013,"2023-10-01",0.341376706726232
0,"7",155715,459568,163618,140235,71342,50718,33655,7,38623.8333333333,1643.7476426799,87.1488144472015,"2024-04-01",0.338829074261045
1,"1",117737,306808,107093,81978,54123,37268,26346,1,52312.8958333333,3203.12168458781,186.041745071685,"2021-04-01",0.383748142160569
1,"2",141089,344240,113874,89277,58500,45028,37561,2,53935.5416666667,4104.86691468254,521.851212877624,"2021-10-01",0.409856495468278
1,"3",161545,369623,113639,94439,63454,51473,46618,3,54302.5625,3355.09292114695,499.965524193548,"2022-04-01",0.437053430116632
1,"4",158040,390164,130530,101594,62739,48115,47186,4,55899.4583333333,3300.80204813108,417.726096070149,"2022-10-01",0.405060436124296
1,"5",153607,390390,130866,105917,64760,48411,40436,5,56952.1666666667,2610.28078364288,169.870327324478,"2023-04-01",0.39347063193217
1,"6",139965,394976,143079,111932,60614,43080,36271,6,59290.8958333333,2976.50226877279,171.509624119392,"2023-10-01",0.35436330308677
1,"7",136494,402686,146488,119704,61598,43765,31131,7,59628.9583333333,2941.82181899642,128.853091397849,"2024-04-01",0.338958891046622
